Atom,A,B,Value,Uncertainty,Method,Year,Citation,Notes
Ba+,6p-,6s,3.31,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Ba+,6p-,7s,2.493,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Ba+,6p-,5d-,3.055,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Ba+,6p-,6s,3.37,,CCSDpT,2006,"B. K. Sahoo, R. K. Chaudhuri, B. P. Das, and D. Mukherjee, Phys. Rev. Lett. 96, 163003 (2006).",
Ba+,6p-,5d-,3.08,,CCSDpT,2006,"B. K. Sahoo, R. K. Chaudhuri, B. P. Das, and D. Mukherjee, Phys. Rev. Lett. 96, 163003 (2006).",
Ba+,6p-,6s,3.3357,,CCSDpT,2008,E. Iskrenova-Tchoukova and M. S. Safronova PhysRevA.78.012508 (2008),
Ba+,6p-,6s,3.36,0.01,CCSDpT,2009,"B. K. Sahoo, L. W. Wansbeek, K. Jungmann, and R. G. E. Timmermans, Phys. Rev. A 79, 052512 (2009).","*NOTE: The results of this paper suspiciously coincide EXACTLY with old experimental result… newer, much more precise experiment disagrees with these values! (much more than claimed theoretical uncerainty)"
Ba+,6p-,5d-,3.11,0.03,CCSDpT,2009,"B. K. Sahoo, L. W. Wansbeek, K. Jungmann, and R. G. E. Timmermans, Phys. Rev. A 79, 052512 (2009).","*NOTE: The results of this paper suspiciously coincide EXACTLY with old experimental result… newer, much more precise experiment disagrees with these values! (much more than claimed theoretical uncerainty)"
Ba+,6p-,6s,3.33,0.03,CCSDpT,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, and B. Arora, At. Data Nucl. Data Tables 137, 101381 (2021).",
Ba+,6p-,5d-,3.07,0.02,CCSDpT,2021,"M. Kaur, D. F. Dar, B. K. Sahoo, and B. Arora, At. Data Nucl. Data Tables 137, 101381 (2021).",
Ba+,6p-,6s,3.299,,CCSDvT+scale+dress+QED+Breit,2021,"S. G. Porsev and M. S. Safronova, Phys. Rev. A 103, 042815 (2021).",
Ba+,6p-,5d-,3.001,,CCSDvT+scale+dress+QED+Breit,2021,"S. G. Porsev and M. S. Safronova, Phys. Rev. A 103, 042815 (2021).",
Ba+,6p-,6s,3.3251,0.0021,Expt.,2010,"S. L. Woods, M. E. Hanni, S. R. Lundeen, and E. L. Snow, Phys. Rev. A 82, 012506 (2010)",
Ba+,6p-,5d-,3.0413,0.0021,Expt.,2019,"K. J. Arnold, S. R. Chanu, R. Kaewuam, T. R. Tan, L. Yeo, Zhiqiang Zhang, M. S. Safronova, and M. D. Barrett, Phys. Rev. A 100, 032503 (2019)",
Ba+,6p-,6s,3.36,0.04,Old Expt.,2002,"J. Klose, J. Fuhr, and W. Wiese, J. Phys. Chem. Ref. Data 31, 217 (2002).; M. D. Davidson, L. C. Snoek, H. Volten, and A. Doenszel- mann, Astron. Astrophys. 255, 457 (1992).",* Old expt value; compare to Sahoo 2009…..
Ba+,6p-,5d-,3.03,0.09,Old Expt.,1993,"A. Kastberg, P. Villemoes, A. Arnesen, F. Heijkenskjöld, A. Langereis, P. Jungner, and S. Linnaeus, J. Opt. Soc. Am. B 10, 1330 (1993)",* Old expt value; compare to Sahoo 2009…..
Ba+,6p-,5d-,2.90,0.09,Old Expt.,2002,"J. Klose, J. Fuhr, and W. Wiese, J. Phys. Chem. Ref. Data 31, 217 (2002).; M. D. Davidson, L. C. Snoek, H. Volten, and A. Doenszel- mann, Astron. Astrophys. 255, 457 (1992).",* Old expt value; compare to Sahoo 2009…..
Ba+,6p+,6s,4.674,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Ba+,6p+,7s,3.882,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Ba+,6p+,5d-,1.334,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
